"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"45.0","38.0","11.0","17.0","1","1","1","231.0","-244.0","8554.0","9.0","36.0","-292.0","406.0","-144.0","-720.0","90","1"
"76.0","43.0","27.0","12.0","1","1","1","242.0","-217.0","8620.0","-5.0","15.0","-272.0","406.0","-138.0","-714.0","90","1"
"82.0","50.0","15.0","4.0","1","1","1","197.0","-224.0","8585.0","-12.0","14.0","11.0","416.0","-122.0","-704.0","90","3"
"51.0","60.0","81.0","3.0","1","1","1","278.0","-379.0","8536.0","92.0","-61.0","3322.0","422.0","-178.0","-718.0","90","3"
"49.0","27.0","35.0","4.0","1","1","1","250.0","-230.0","8600.0","-15.0","21.0","14.0","388.0","-248.0","-730.0","90","2"
"49.0","59.0","79.0","5.0","1","1","1","516.0","-159.0","8566.0","-162.0","35.0","-4386.0","408.0","-190.0","-724.0","90","2"
"17.0","50.0","11.0","60.0","1","1","1","207.0","-209.0","8592.0","-14.0","16.0","11.0","375.0","-57.0","-719.0","90","0"
"16.0","48.0","10.0","31.0","1","1","1","-138.0","-212.0","8575.0","11.0","2.0","86.0","369.0","-85.0","-711.0","90","0"
"9.0","44.0","4.0","18.0","1","1","1","206.0","-195.0","8586.0","-13.0","16.0","13.0","372.0","-70.0","-700.0","90","3"
"74.0","43.0","7.0","16.0","1","1","1","310.0","-292.0","8613.0","104.0","6.0","3478.0","394.0","-122.0","-720.0","90","3"
"43.0","59.0","73.0","10.0","1","1","1","183.0","-228.0","8586.0","-14.0","12.0","13.0","399.0","-211.0","-725.0","90","0"
"41.0","57.0","71.0","13.0","1","1","1","-137.0","-251.0","8606.0","-23.0","5.0","36.0","407.0","-205.0","-719.0","90","0"
"35.0","53.0","40.0","18.0","1","1","1","191.0","-274.0","8634.0","-33.0","17.0","131.0","403.0","-205.0","-723.0","90","0"
"29.0","42.0","34.0","25.0","1","1","1","101.0","-263.0","8594.0","-41.0","-3.0","236.0","419.0","-221.0","-725.0","90","0"
"24.0","45.0","65.0","31.0","1","1","1","194.0","-284.0","8672.0","3.0","56.0","104.0","414.0","-208.0","-722.0","90","0"
"17.0","42.0","22.0","36.0","1","1","1","171.0","-348.0","8543.0","-7.0","-2.0","118.0","412.0","-212.0","-720.0","90","0"
"11.0","40.0","12.0","43.0","1","1","1","149.0","-300.0","8511.0","12.0","-14.0","250.0","406.0","-202.0","-724.0","90","0"
"4.0","6.0","2.0","49.0","1","1","1","204.0","-251.0","8586.0","-14.0","15.0","12.0","404.0","-218.0","-718.0","90","1"
"5.0","9.0","5.0","40.0","1","1","1","602.0","-323.0","8610.0","-3.0","57.0","-29.0","405.0","-227.0","-721.0","90","1"
"10.0","14.0","11.0","43.0","1","1","1","318.0","-329.0","8723.0","-5.0","14.0","-235.0","406.0","-230.0","-714.0","90","1"
"16.0","43.0","57.0","38.0","1","1","1","250.0","-292.0","8764.0","-12.0","54.0","-235.0","419.0","-207.0","-721.0","90","1"
"22.0","46.0","19.0","31.0","1","1","1","48.0","-322.0","8635.0","-5.0","25.0","-203.0","410.0","-208.0","-718.0","90","1"
"28.0","49.0","71.0","26.0","1","1","1","182.0","-315.0","8624.0","-30.0","-13.0","-192.0","408.0","-220.0","-718.0","90","1"
"33.0","39.0","36.0","20.0","1","1","1","211.0","-318.0","8605.0","-70.0","33.0","-343.0","412.0","-206.0","-714.0","90","1"
"39.0","56.0","70.0","14.0","1","1","1","176.0","-288.0","8661.0","5.0","-22.0","-219.0","404.0","-206.0","-722.0","90","1"
"45.0","60.0","73.0","8.0","1","1","1","262.0","-272.0","8571.0","-17.0","30.0","-219.0","409.0","-199.0","-725.0","90","1"
"52.0","65.0","77.0","2.0","1","1","1","189.0","-234.0","8592.0","-14.0","16.0","12.0","414.0","-186.0","-726.0","90","0"
"50.0","54.0","79.0","4.0","1","1","1","-163.0","-206.0","8557.0","-13.0","-18.0","69.0","406.0","-184.0","-722.0","90","0"
"44.0","31.0","72.0","9.0","1","1","1","110.0","-239.0","8407.0","-8.0","3.0","29.0","409.0","-185.0","-715.0","90","0"
"39.0","41.0","21.0","15.0","1","1","1","192.0","-268.0","8593.0","-39.0","18.0","105.0","405.0","-179.0","-717.0","90","0"
"32.0","35.0","17.0","21.0","1","1","1","292.0","-229.0","8749.0","25.0","12.0","134.0","402.0","-182.0","-720.0","90","0"
"26.0","39.0","17.0","28.0","1","1","1","264.0","-205.0","8505.0","5.0","48.0","113.0","411.0","-189.0","-711.0","90","0"
"20.0","26.0","15.0","34.0","1","1","1","164.0","-238.0","8606.0","-27.0","57.0","135.0","414.0","-182.0","-710.0","90","0"
"11.0","23.0","16.0","42.0","1","1","1","223.0","-233.0","8593.0","-13.0","16.0","10.0","407.0","-197.0","-717.0","90","2"
"17.0","12.0","9.0","37.0","1","1","1","475.0","-279.0","8575.0","-128.0","48.0","-3338.0","413.0","-163.0","-723.0","90","2"
"9.0","12.0","6.0","51.0","1","1","1","399.0","-371.0","8550.0","-116.0","34.0","-3662.0","379.0","-87.0","-721.0","90","2"
"8.0","21.0","14.0","40.0","1","1","1","221.0","-159.0","8582.0","-15.0","15.0","12.0","305.0","-31.0","-709.0","90","1"
"9.0","20.0","15.0","38.0","1","1","1","665.0","-197.0","8560.0","-2.0","32.0","-84.0","299.0","-39.0","-715.0","90","1"
"14.0","24.0","22.0","34.0","1","1","1","324.0","-179.0","8557.0","-35.0","-3.0","-116.0","294.0","-40.0","-712.0","90","1"
"20.0","26.0","67.0","28.0","1","1","1","271.0","-151.0","8543.0","1.0","60.0","-197.0","290.0","-46.0","-708.0","90","1"
"25.0","23.0","71.0","23.0","1","1","1","228.0","-214.0","8672.0","-8.0","-30.0","-171.0","288.0","-34.0","-720.0","90","1"
"31.0","31.0","75.0","18.0","1","1","1","219.0","-184.0","8503.0","-41.0","56.0","-299.0","286.0","-30.0","-706.0","90","1"
"38.0","36.0","35.0","11.0","1","1","1","254.0","-165.0","8574.0","-14.0","17.0","12.0","278.0","-36.0","-714.0","90","2"
"56.0","35.0","64.0","25.0","1","1","1","391.0","-158.0","8629.0","-128.0","47.0","-3544.0","223.0","-45.0","-711.0","90","2"
"36.0","39.0","32.0","20.0","1","1","1","313.0","-126.0","8486.0","-109.0","20.0","-3625.0","154.0","-92.0","-708.0","90","2"
"33.0","55.0","34.0","13.0","1","1","1","161.0","-134.0","8592.0","-13.0","17.0","11.0","118.0","-152.0","-694.0","90","3"
"33.0","54.0","31.0","15.0","1","1","1","181.0","-139.0","8584.0","-14.0","13.0","9.0","135.0","-97.0","-707.0","90","0"
