"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"92.0","201.0","103.0","154.0","0","0","0","816.0","-196.0","8537.0","-16.0","17.0","12.0","351.0","-407.0","-585.0","90","0"
"92.0","202.0","104.0","153.0","0","0","0","811.0","-194.0","8534.0","-17.0","16.0","11.0","354.0","-414.0","-586.0","90","0"
"92.0","205.0","104.0","154.0","0","0","0","812.0","-195.0","8540.0","-17.0","17.0","11.0","360.0","-400.0","-582.0","90","0"
"92.0","204.0","101.0","153.0","0","0","0","785.0","-195.0","8540.0","-19.0","21.0","14.0","359.0","-399.0","-583.0","90","1"
"91.0","203.0","102.0","154.0","0","0","0","249.0","-299.0","8383.0","45.0","39.0","181.0","360.0","-412.0","-582.0","90","1"
"88.0","41.0","86.0","112.0","0","0","0","614.0","-213.0","8749.0","-3.0","-107.0","100.0","354.0","-404.0","-576.0","90","1"
"86.0","40.0","87.0","129.0","0","0","0","715.0","-193.0","8652.0","2.0","0.0","154.0","358.0","-408.0","-570.0","90","1"
"83.0","41.0","102.0","8.0","0","0","0","530.0","-147.0","8565.0","-14.0","-32.0","188.0","364.0","-402.0","-568.0","90","1"
"81.0","39.0","84.0","11.0","0","0","0","632.0","-275.0","8540.0","-30.0","30.0","218.0","355.0","-405.0","-569.0","90","1"
"73.0","40.0","85.0","14.0","0","0","0","706.0","-186.0","8463.0","38.0","-6.0","157.0","354.0","-408.0","-556.0","90","1"
"74.0","209.0","84.0","16.0","0","0","0","563.0","-257.0","8486.0","40.0","3.0","169.0","353.0","-409.0","-555.0","90","1"
"72.0","212.0","83.0","21.0","0","0","0","629.0","-294.0","8503.0","2.0","124.0","222.0","345.0","-407.0","-547.0","90","1"
"68.0","209.0","84.0","25.0","0","0","0","777.0","-291.0","8618.0","-5.0","88.0","197.0","337.0","-405.0","-533.0","90","1"
"65.0","209.0","84.0","27.0","0","0","0","598.0","-193.0","8575.0","9.0","-19.0","217.0","317.0","-403.0","-535.0","90","1"
"60.0","211.0","85.0","30.0","0","0","0","445.0","-146.0","8499.0","-11.0","-36.0","216.0","314.0","-404.0","-524.0","90","1"
"59.0","211.0","123.0","34.0","0","0","0","733.0","-170.0","8578.0","1.0","-45.0","228.0","304.0","-408.0","-526.0","90","1"
"55.0","210.0","87.0","37.0","0","0","0","695.0","-275.0","8502.0","-5.0","-102.0","177.0","290.0","-414.0","-530.0","90","1"
"51.0","90.0","89.0","41.0","0","0","0","701.0","-186.0","8525.0","-7.0","80.0","235.0","290.0","-408.0","-528.0","90","1"
"49.0","213.0","114.0","44.0","0","0","0","679.0","-250.0","8514.0","17.0","-46.0","220.0","282.0","-406.0","-534.0","90","1"
"45.0","54.0","122.0","48.0","0","0","0","660.0","-225.0","8500.0","31.0","32.0","175.0","274.0","-402.0","-536.0","90","1"
"42.0","216.0","143.0","51.0","0","0","0","570.0","-202.0","8505.0","-42.0","50.0","201.0","273.0","-399.0","-531.0","90","1"
"39.0","208.0","112.0","56.0","0","0","0","619.0","-284.0","8551.0","-26.0","-105.0","227.0","265.0","-407.0","-535.0","90","1"
"36.0","209.0","111.0","61.0","0","0","0","654.0","-133.0","8548.0","-43.0","18.0","171.0","270.0","-402.0","-536.0","90","1"
